tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2011-D069,Davis Cup G2 R2: GBR vs LUX,Hard,4,D,20110708,1,104180,,,Gilles Muller,L,193.0,LUX,28.153319644100000,81.0,640.0,104868,,,James Ward,R,190.0,GBR,24.396988364100000,187.0,279.0,6-3 7-6(4) 6-1,5,RR,,,,,,,,,,,,,,,,,,,
2011-D069,Davis Cup G2 R2: GBR vs LUX,Hard,4,D,20110708,2,104918,,,Andy Murray,R,190.0,GBR,24.1368925394,4.0,6855.0,107552,,,Laurent Bram,U,,LUX,27.258042436700000,,,6-0 6-0 6-0,5,RR,,,,,,,,,,,,,,,,,,,
2011-D069,Davis Cup G2 R2: GBR vs LUX,Hard,4,D,20110708,3,104918,,,Andy Murray,R,190.0,GBR,24.1368925394,4.0,6855.0,104180,,,Gilles Muller,L,193.0,LUX,28.153319644100000,81.0,640.0,6-4 6-3 6-1,5,RR,,,,,,,,,,,,,,,,,,,
2011-D069,Davis Cup G2 R2: GBR vs LUX,Hard,4,D,20110708,4,104868,,,James Ward,R,190.0,GBR,24.396988364100000,187.0,279.0,106077,,,Mike Vermeer,U,,LUX,18.6502395619,971.0,8.0,6-1 6-3,3,RR,,,,,,,,,,,,,,,,,,,
2011-D070,Davis Cup G2 R2: HUN vs BLR,Clay,4,D,20110708,1,105590,,,Uladzimir Ignatik,R,,BLR,20.9719370294,153.0,356.0,104775,,,Adam Kellner,U,,HUN,24.922655715300000,249.0,194.0,7-6(5) 6-4 5-7 1-6 7-5,5,RR,,,,,,,,,,,,,,,,,,,
2011-D070,Davis Cup G2 R2: HUN vs BLR,Clay,4,D,20110708,2,105226,,,Attila Balazs,R,180.0,HUN,22.765229295,224.0,224.0,105029,,,Sergey Betov,U,,BLR,23.718001368900000,364.0,111.0,6-2 6-1 7-5,5,RR,,,,,,,,,,,,,,,,,,,
2011-D070,Davis Cup G2 R2: HUN vs BLR,Clay,4,D,20110708,3,105226,,,Attila Balazs,R,180.0,HUN,22.765229295,224.0,224.0,105590,,,Uladzimir Ignatik,R,,BLR,20.9719370294,153.0,356.0,7-6(5) 6-3 7-6(7),5,RR,,,,,,,,,,,,,,,,,,,
2011-D070,Davis Cup G2 R2: HUN vs BLR,Clay,4,D,20110708,4,104775,,,Adam Kellner,U,,HUN,24.922655715300000,249.0,194.0,105029,,,Sergey Betov,U,,BLR,23.718001368900000,364.0,111.0,6-2 6-0 6-2,5,RR,,,,,,,,,,,,,,,,,,,
2011-D071,Davis Cup G2 R2: BIH vs EST,Hard,4,D,20110708,1,105132,,,Jurgen Zopp,R,190.0,EST,23.2635181383,186.0,281.0,105060,,,Aldin Setkic,R,193.0,BIH,23.5345653662,329.0,131.0,1-6 7-5 6-3 5-7 6-2,5,RR,,,,,,,,,,,,,,,,,,,
2011-D071,Davis Cup G2 R2: BIH vs EST,Hard,4,D,20110708,2,104025,,,Amer Delic,R,196.0,BIH,29.010266940500000,238.0,203.0,105145,,,Jaak Poldma,U,,EST,23.1321013005,,,6-4 6-1 7-5,5,RR,,,,,,,,,,,,,,,,,,,
2011-D071,Davis Cup G2 R2: BIH vs EST,Hard,4,D,20110708,3,104025,,,Amer Delic,R,196.0,BIH,29.010266940500000,238.0,203.0,105132,,,Jurgen Zopp,R,190.0,EST,23.2635181383,186.0,281.0,7-6(12) 6-3 7-5,5,RR,,,,,,,,,,,,,,,,,,,
